System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
ALIGN,Multimodal,Representation Learning,"Chao Jia, Yinfei Yang, Ye Xia, Yi-Ting Chen, Zarana Parekh, Hieu Pham, Quoc V. Le, Yunhsuan Sung, Zhen Li, Tom Duerig",SOTA Improvement,"""The aligned visual and language representations... set new state-of-the-art results on Flickr30K and MSCOCO image-text retrieval benchmarks""",,https://arxiv.org/abs/2102.05918,1766.00,Scaling up visual and vision-language representation learning with noisy text supervision,2021-06-11,Google Research,Industry,820000000.00,"From author communication

 480M (image tower) + 340 M (text tower)",2.5986700000009994e+22,"From author communication
14.82K TPUv3 core-days
Precision: bfloat16

Estimation
TPUv3 at float16: 123 TFLOPS/chip

123*10^12 TFLOPS/chip * (1 chip / 2 cores) * 14820 TPU core-days * 86400 s/day * 33% utilization = 2.599*10^22 FLOP
https://www.wolframalpha.com/input?i=14820+days+*+123+teraFLOPS+%2F+2+*+0.33",,,1600000000,"Dataset contains 1.8B image-text pairs, then some duplicates are removed.",,,,347.3,14820 TPU core-hours / 1024 TPU cores = 347.3 hours,Google TPU v3,Google TPU v3,Self-supervised learning,$357760.33,,Industry,Likely,"Pre-trained representations are becoming crucial for many NLP and perception tasks. While representation learning in NLP has transitioned to training on raw text without human annotations, visual and vision-language representations still rely heavily on curated training datasets that are expensive or require expert knowledge. For vision applications, representations are mostly learned using datasets with explicit class labels such as ImageNet or OpenImages. For vision-language, popular datasets like Conceptual Captions, MSCOCO, or CLIP all involve a non-trivial data collection (and cleaning) process. This costly curation process limits the size of datasets and hence hinders the scaling of trained models. In this paper, we leverage a noisy dataset of over one billion image alt-text pairs, obtained without expensive filtering or post-processing steps in the Conceptual Captions dataset. A simple dual-encoder architecture learns to align visual and language representations of the image and text pairs using a contrastive loss. We show that the scale of our corpus can make up for its noise and leads to state-of-the-art representations even with such a simple learning scheme. Our visual representation achieves strong performance when transferred to classification tasks such as ImageNet and VTAB. The aligned visual and language representations enables zero-shot image classification and also set new state-of-the-art results on Flickr30K and MSCOCO image-text retrieval benchmarks, even when compared with more sophisticated cross-attention models. The representations also enable cross-modality search with complex text and text + image queries.",2023-12-05 11:37,Robi Rahman,,,Multinational,Google Research,,,,ALIGN,512,,ALIGN
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Drawing,,"Jonathan Ho, Ajay Jain, Pieter Abbeel",SOTA Improvement,"Novel approach to image synthesis that yields SOTA results on datasets like CIFAR-10

Abstract: 
""On the unconditional CIFAR10 dataset, we obtain an Inception score of 9.46 and a state-of-the-art FID score of 3.17. """,,https://arxiv.org/abs/2006.11239,4819.00,Denoising Diffusion Probabilistic Models,2021-06-11,UC Berkeley,Academia,256000000.00,"Appendix B: 
"" Our CIFAR10 model has 35.7 million parameters, and our LSUN and
CelebA-HQ models have 114 million parameters. We also trained a larger variant of the LSUN Bedroom model with approximately 256 million parameters by increasing filter count.""",95000000000000020000.00,"Numbers in Appendix B
10.6h for the CIFAR model (batch size 128, 21 step/s)
2.2 step/s for the LSUN model, 1.15M steps so 702.8 hours

1.25E14 FLOP/s * 702.8h * 3600s/h * 0.3 = 9.5e19",LSUN Bedroom,,3033042,"""We trained on CelebA-HQ for 0.5M steps, LSUN Bedroom for 2.4M steps, LSUN Cat for 1.8M steps, and LSUN Church for 1.2M steps.""

""The CelebA-HQ dataset is a high-quality version of CelebA that consists of 30,000 images at 1024×1024 resolution.""
https://paperswithcode.com/dataset/celeba-hq

LSUN bedroom has 3,033,042 examples. LSUN cat has 1,657,266 examples. LSUN church has 126,227 examples.
https://www.tensorflow.org/datasets/catalog/lsun
",,,,,,Google TPU v3,Google TPU v3,,$2.60,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,UC Berkeley,,,,Denoising Diffusion Probabilistic Models (LSUN Bedroom),,,
Delta RNN (+ full context),Language,,"Kazuki Irie, Imanol Schlag, Róbert Csordás, Jürgen Schmidhuber",,,,https://proceedings.neurips.cc/paper/2021/file/3f9e3767ef3b10a0de4c256d7ef9805d-Paper.pdf,42.00,Going Beyond Linear Transformers with Recurrent Fast Weight Programmers,2021-06-11,,,44600000.00,,1100000000000000100.00,,WikiText-103,,,,40.00,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,Delta RNN (+ full context),,,,,,,,,,
EfficientNetV2,Vision,Image Classification,"Mingxing Tan, Quoc V. Le","SOTA Improvement,Highly cited","""EfficientNetV2 achieves 87.3% top-1 accuracy on ImageNet ILSVRC2012, outperforming the recent ViT by 2.0% accuracy while 
 training 5x-11x faster using the same computing resources.""",,EfficientNetV2: Smaller Models and Faster Training,1387.00,EfficientNetV2: Smaller Models and Faster Training,2021-06-23,Google,Industry,208000000.00,"Table 7, page 7",95600000000000000000.00,"Table 7, page 7: 45 hours on 32 TPUv3 cores.

""Each v3 TPU chip contains two TensorCores.""
TPU performance per chip = 123e12 FLOP/s
32 cores = 16 chips

123e12 FLOP/s per chip * (32 cores / 2 cores per chip) * 45 hours * 3600 seconds/hour * 0.30 utilization = 9.56e19 FLOP

https://www.wolframalpha.com/input?i=123+terahertz+*+16+*+45+hours+*+0.3",ImageNet21k,,14197122,,,,,45.0,Table 7,Google TPU v3,Google TPU v3,Supervised,,,Industry,Likely,"This paper introduces EfficientNetV2, a new family of convolutional networks that have faster training speed and better parameter efficiency than previous models. To develop this family of models, we use a combination of training-aware neural architecture search and scaling, to jointly optimize training speed and parameter efficiency. The models were searched from the search space enriched with new ops such as Fused-MBConv. Our experiments show that EfficientNetV2 models train much faster than state-of-the-art models while being up to 6.8x smaller.
Our training can be further sped up by progressively increasing the image size during training, but it often causes a drop in accuracy. To compensate for this accuracy drop, we propose to adaptively adjust regularization (e.g., dropout and data augmentation) as well, such that we can achieve both fast training and good accuracy.
With progressive learning, our EfficientNetV2 significantly outperforms previous models on ImageNet and CIFAR/Cars/Flowers datasets. By pretraining on the same ImageNet21k, our EfficientNetV2 achieves 87.3% top-1 accuracy on ImageNet ILSVRC2012, outperforming the recent ViT by 2.0% accuracy while training 5x-11x faster using the same computing resources. Code will be available at this https URL.",2023-11-26 03:25,Anonymous,,,Multinational,Google,,,,EfficientNetV2,,,
CPM-2,Language,Language Generation,"Zhengyan Zhang, Yuxian Gu, Xu Han, Shengqi Chen, Chaojun Xiao, Zhenbo Sun, Yuan Yao, Fanchao Qi, Jian Guan, Pei Ke, Yanzheng Cai, Guoyang Zeng, Zhixing Tan, Zhiyuan Liu, Minlie Huang, Wentao Han, Yang Liu, Xiaoyan Zhu, Maosong Sun",,,,https://arxiv.org/abs/2106.10715,64.00,CPM-2: Large-scale Cost-effective Pre-trained Language Models,2021-06-24,"Tsinghua University,Beijing Academy of Artificial Intelligence",Academia,11000000000.00,11B,,,WuDaoCorpus,,444100000000,"""We pre-train our model on WuDaoCorpus (Yuan et al., 2021), which contains 2.3TB cleaned Chinese data as well as 300GB cleaned English data.""

2300*167 million + 300*200 million = 444,100,000,000 (444 billion)

https://docs.google.com/document/d/1G3vvQkn4x_W71MKg0GmHVtzfd9m0y3_Ofcoew0v902Q/edit#heading=h.ieihc08p8dn0",,,,,,,,,,,,Likely,"In recent years, the size of pre-trained language models (PLMs) has grown by leaps and bounds. However, efficiency issues of these large-scale PLMs limit their utilization in real-world scenarios. We present a suite of cost-effective techniques for the use of PLMs to deal with the efficiency issues of pre-training, fine-tuning, and inference. (1) We introduce knowledge inheritance to accelerate the pre-training process by exploiting existing PLMs instead of training models from scratch. (2) We explore the best practice of prompt tuning with large-scale PLMs. Compared with conventional fine-tuning, prompt tuning significantly reduces the number of task-specific parameters. (3) We implement a new inference toolkit, namely InfMoE, for using large-scale PLMs with limited computational resources. Based on our cost-effective pipeline, we pre-train two models: an encoder-decoder bilingual model with 11 billion parameters (CPM-2) and its corresponding MoE version with 198 billion parameters. In our experiments, we compare CPM-2 with mT5 on downstream tasks. Experimental results show that CPM-2 has excellent general language intelligence. Moreover, we validate the efficiency of InfMoE when conducting inference of large-scale models having tens of billions of parameters on a single GPU. All source code and model parameters are available at this https URL.",2023-12-05 08:10,Anonymous,,0,"China,China","Tsinghua University, Beijing Academy of Artificial Intelligence",,,,,,,
DEQ-Transformer (Post-LN) + Jacobian Regularisation,Language,,"Shaojie Bai, Vladlen Koltun, J. Zico Kolter",,,,https://arxiv.org/abs/2106.14342,45.00,Stabilizing Equilibrium Models by Jacobian Regularization,2021-06-28,,,98000000.00,,29000000000000000000.00,,WikiText-103,,,,23.00,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,DEQ-Transformer (Post-LN) + Jacobian Regularisation,,,,,,,,,,
Adaptive Input Transformer + RD,Language,,"Xiaobo Liang, Lijun Wu, Juntao Li, Yue Wang, Qi Meng, Tao Qin, Wei Chen, Min Zhang, Tie-Yan Liu",SOTA Improvement,"""In particular, it yields substantial
improvements when applied to fine-tune large-scale pre-trained models, e.g., ViT, RoBERTa-large, and BART, and achieves state-of-the-art (SOTA) performances with the vanilla Transformer model """,,https://arxiv.org/abs/2106.14448,246.00,R-Drop: Regularized Dropout for Neural Networks,2021-06-28,"Microsoft Research Asia,Soochow University",,247000000.00,,82000000000000000000.00,,,,,,,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Adaptive Input Transformer + RD,,"China,Taiwan","Microsoft Research Asia, Soochow University",,,,Adaptive Input Transformer + RD,,,
ERNIE 3.0,Language,,"Y Sun, S Wang, S Feng, S Ding, C Pang",SOTA Improvement,"""ERNIE 3.0 achieved new state-of-the-art results across 54 Chinese NLP tasks""",,http://research.baidu.com/Blog/index-view?id=160,199.00,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,2021-07-05,Baidu,Industry,10000000000.00,"""We trained the model with 10 billion parameters on a 4TB corpus consisting of plain texts and a large-scale knowledge graph.""",2.25e+22,"Section 3.3.3: 
""""The model is trained for
a total of 375 billion tokens""

Total compute approximated as 6*N*D",,,668000000000,"""To ensure the success of the pre-training of ERNIE 3.0, we construct a large-scale, wide-variety and high-quality Chinese text corpora amounting to 4TB storage size in 11 different categories.""

1 GB ~ 167M chinese words",,,,,,,,Self-supervised learning,$3.83,,Industry,,,2023-12-05 04:33,Robi Rahman,,,China,Baidu,,,,ERNIE 3.0,,,
Codex,Language,Code autocompletion,"Mark Chen , Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared Kaplan, Harri Edwards, Yuri Burda, Nicholas Joseph, Greg Brockman, Alex Ray, Raul Puri, Gretchen Krueger,  Michael Petrov, Heidy Khlaaf, Girish Sastry, Pamela Mishkin, Brooke Chan, Scott Gray, Nick Ryder, Mikhail Pavlov, Alethea Power, Lukasz Kaiser, Clemens Winter, Philippe Tillet, Felipe Petroski Such, Dave Cummings, Fotios Chantzis, Elizabeth Barnes, Ariel Herbert-Voss, William Hebgen Guss, Nikolas Tezak, Jie Tang, Igor Babuschkin, Suchir Balaji,  Shantanu Jain, William Saunders, Christopher Hesse, Andrew N. Carr, Jan Leike, Josh Achiam, Vedant Misra, Evan Morikawa, Alec Radford, Matthew Knight, Miles Brundage, Mira Murati, Katie Mayer, Peter Welinder, Bob McGrew, Dario Amodei, Sam McCandlish, Ilya Sutskever, Wojciech Zaremba ",Significant use,,,https://openai.com/blog/openai-codex/,1784.00,Evaluating Large Language Models Trained on Code,2021-07-07,OpenAI,Industry,12000000000.00,"""With just a single sample, a 12B parameter Codex solves 28.8% of these problems, and a 300M parameter Codex solves 13.2% of these problems""",,"""The original training of GPT-3-12B consumed hundreds of petaflop/sdays of compute, while fine-tuning it to create Codex-12B
consumed a similar amount of compute.""
",,,31800000000,"""Our training dataset was collected in May 2020 from 54 million public software repositories hosted on GitHub, containing 179 GB of unique Python files under 1 MB. We filtered out files which were likely auto-generated, had average line
length greater than 100, had maximum line length greater
than 1000, or contained a small percentage of alphanumeric
characters. After filtering, our final dataset totaled 159 GB.""

1 GB ~ 200M words",,,,,,,,Self-supervised learning,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,United States of America,OpenAI,,,,Codex,,,
FNetAR Medium,Language,,"Tim Lou, Michael Park, Mohammad Ramezanali, Vincent Tang",,not SOTA per https://paperswithcode.com/sota/language-modelling-on-wikitext-103,,https://arxiv.org/abs/2107.10932,2.00,FNetAR: Mixing Tokens with Autoregressive Fourier Transforms,2021-07-22,,,34300000.00,,,,WikiText-103,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,FNetAR Medium,,,,,,,,,,
GOAT,Games,Open ended play,Open- Ended Learning Team,SOTA Improvement,likely qualitatively SOTA,,https://deepmind.com/blog/article/generally-capable-agents-emerge-from-open-ended-play,127.00,Open-Ended Learning Leads to Generally Capable Agents,2021-07-27,DeepMind,Industry,3500000.00,estimate described here: https://docs.google.com/document/d/1S9xZyCeITDOs-P1W_-liNW0WgVN-OLsSudVrPXMaLqw/edit?usp=sharing,7.8e+22,"[Final calculation]
(8 TPUs)(4.20e14 FLOP/s)(0.1 utilisation rate)(32 agents)(7.3e6 s/agent) = 7.8e22 FLOPs

==========================
NOTES BELOW

[Hardware]
- ""Each agent is trained using 8 TPUv3s and consumes approximately 50,000 agent steps (observations) per second.""
- TPUv3 (half precision): 4.2e14 FLOP/s
- Number of TPUs: 8
- Utilisation rate: 0.1

[Timesteps]
- Figure 16 shows steps per generation and agent. In total there are 1.5e10 + 4.0e10 + 2.5e10 + 1.1e11 + 2e11 = 3.9e11 steps per agent.
- 3.9e11 / 5e4 = 8e6 s → ~93 days
- 100 million steps is equivalent to 30 minutes of wall-clock time in our setup. (pg 29, fig 27)
- 1e8 steps → 0.5h
- 3.9e11 steps → 1950h → 7.0e6 s → ~82 days
- Both of these seem like overestimates, because:
“Finally, on the largest timescale (days), generational training iteratively improves population performance by bootstrapping off previous generations, whilst also iteratively updating the validation normalised percentile metric itself.” (pg 16)
- Suggests that the above is an overestimate of the number of days needed, else they would have said (months) or (weeks)?
- Final choice (guesstimate): 85 days = 7.3e6 s

[Population size]
- 8 agents? (pg 21) → this is describing the case where they’re not using PBT, so ignore this number
- The original PBT paper uses 32 agents for one task https://arxiv.org/pdf/1711.09846.pdf (in general it uses between 10 and 80)
- (Guesstimate) Average population size: 32",XLand,,390000000000,Figure 16 shows steps per generation and agent. In total there are 1.5e10 + 4.0e10 + 2.5e10 + 1.1e11 + 2e11 = 3.9e11 steps per agent.,,,,,,,,Self-supervised learning,$122418.97,,Industry,,"In this work we create agents that can perform well beyond a single, individual task, that exhibit much wider generalisation of behaviour to a massive, rich space of challenges. We define a universe of tasks within an environment domain and demonstrate the ability to train agents that are generally capable across this vast space and beyond. The environment is natively multi-agent, spanning the continuum of competitive, cooperative, and independent games, which are situated within procedurally generated physical 3D worlds. The resulting space is exceptionally diverse in terms of the challenges posed to agents, and as such, even measuring the learning progress of an agent is an open research problem. We propose an iterative notion of improvement between successive generations of agents, rather than seeking to maximise a singular objective, allowing us to quantify progress despite tasks being incomparable in terms of achievable rewards. We show that through constructing an open-ended learning process, which dynamically changes the training task distributions and training objectives such that the agent never stops learning, we achieve consistent learning of new behaviours. The resulting agent is able to score reward in every one of our humanly solvable evaluation levels, with behaviour generalising to many held-out points in the universe of tasks. Examples of this zero-shot generalisation include good performance on Hide and Seek, Capture the Flag, and Tag. Through analysis and hand-authored probe tasks we characterise the behaviour of our agent, and find interesting emergent heuristic behaviours such as trial-and-error experimentation, simple tool use, option switching, and cooperation. Finally, we demonstrate that the general capabilities of this agent could unlock larger scale transfer of behaviour through cheap finetuning.",2023-12-05 04:33,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,DeepMind,,,,GOAT,,,
